Potra2n10c20184	AT2G27110
Potra2n10c20185	AT5G50350
Potra2n10c20186	AT3G10690
Potra2n10c20187	AT5G17770
Potra2n10c20188	AT5G17770
Potra2n10c20189	AT3G07040
Potra2n10c20190	AT5G18440
Potra2n10c20191	AT5G04920
Potra2n10c20193	AT1G32583
Potra2n10c20194	AT5G04930
Potra2n10c20195	AT5G04930
Potra2n10c20196	AT5G04895
Potra2n10c20198	AT2G27940
Potra2n10c20201	AT5G04890
Potra2n10c20202	AT5G64140
Potra2n10c20203	AT5G16010
Potra2n10c20206	AT5G16010
Potra2n10c20207	AT3G11910
Potra2n10c20208	AT5G06390
Potra2n10c20209	AT5G04870
Potra2n10c20210	AT3G10650
Potra2n10c20211	AT5G22040
Potra2n10c20212	AT4G32605
Potra2n10c20213	AT2G36540
Potra2n10c20214	AT2G36540
Potra2n10c20215	AT2G36540
Potra2n10c20216	AT3G11760
Potra2n10c20218	AT2G38680
Potra2n10c20219	AT1G73970
Potra2n10c20220	AT5G01420
Potra2n10c20221	AT4G01380
Potra2n10c20222	AT5G06490
Potra2n10c20223	AT5G06490
Potra2n10c20225	AT3G44110
Potra2n10c20226	AT2G26790
Potra2n10c20227	AT3G52060
Potra2n10c20228	AT5G04840
Potra2n10c20229	AT3G10640
Potra2n10c20230	AT2G26230
Potra2n10c20231	AT3G10630
Potra2n10c20232	AT3G06260
Potra2n10c20233	AT3G10620
Potra2n10c20234	AT5G03540
Potra2n10c20235	AT3G52490
Potra2n10c20237	AT5G04820
Potra2n10c20238	AT5G06270
Potra2n10c20239	AT5G04810
Potra2n10c20241	AT5G04780
Potra2n10c20242	AT3G10600
Potra2n10c20244	AT5G03700
Potra2n10c20245	AT5G04760
Potra2n10c20248	AT1G09560
Potra2n10c20249	AT1G02335
Potra2n10c20251	AT3G52220
Potra2n10c20252	AT3G19330
Potra2n10c20254	AT2G38710
Potra2n10c20255	AT3G54300
Potra2n10c20257	AT3G54290
Potra2n10c20259	AT4G34555
Potra2n10c20260	AT4G18590
Potra2n10c20261	AT2G27510
Potra2n10c20262	AT4G24830
Potra2n10c20264	AT3G18650
Potra2n10c20265	AT2G16710
Potra2n10c20268	AT5G22450
Potra2n10c20269	AT3G11470
Potra2n10c20270	AT5G04740
Potra2n10c20271	AT3G10080
Potra2n10c20272	AT3G10080
Potra2n10c20273	AT1G30240
Potra2n10c20274	AT3G54250
Potra2n10c20275	AT2G36290
Potra2n10c20276	AT3G48410
Potra2n10c20277	AT3G52770
Potra2n10c20278	AT3G56680
Potra2n10c20281	AT3G20970
Potra2n10c20282	AT5G42210
Potra2n10c20283	AT3G20930
Potra2n10c20284	AT2G27600
Potra2n10c20285	AT5G03610
Potra2n10c20286	AT5G03610
Potra2n10c20287	AT5G03610
Potra2n10c20289	AT2G27690
Potra2n10c20290	AT1G66240
Potra2n10c20292	AT3G21510
Potra2n10c20293	AT3G44610
Potra2n10c20294	AT5G22510
Potra2n10c20296	AT5G04670
Potra2n10c20298	AT2G36380
Potra2n10c20299	AT1G66950
Potra2n10c20300	AT3G22430
Potra2n10c20301	AT3G52900
Potra2n10c20302	AT3G52240
Potra2n10c20303	AT2G38790
Potra2n10c20304	AT1G20823
Potra2n10c20305	AT3G10570
Potra2n10c20306	AT5G03680
Potra2n10c20307	AT4G40045
Potra2n10c20308	AT5G04600
Potra2n10c20310	AT5G03730
Potra2n10c20311	AT5G04610
Potra2n10c20312	AT1G74580
Potra2n10c20314	AT5G04560
Potra2n10c20315	AT3G57810
Potra2n10c20316	AT5G24900
Potra2n10c20318	AT5G03760
Potra2n10c20319	AT2G28600
Potra2n10c20320	AT1G08230
Potra2n10c20322	AT5G04550
Potra2n10c20323	AT3G10550
Potra2n10c20324	AT3G10030
Potra2n10c20325	AT3G52230
Potra2n10c20326	AT3G52990
Potra2n10c20327	AT3G52210
Potra2n10c20328	AT5G04520
Potra2n10c20329	AT3G10540
Potra2n10c20330	AT5G04500
Potra2n10c20331	AT5G04490
Potra2n10c20332	AT3G10530
Potra2n10c20333	AT3G52190
Potra2n10c20334	AT5G22860
Potra2n10c20335	AT3G52180
Potra2n10c20336	AT5G04480
Potra2n10c20337	AT2G29420
Potra2n10c20338	AT3G52170
Potra2n10c20341	AT2G36690
Potra2n10c20344	AT5G04460
Potra2n10c20345	AT3G52790
Potra2n10c20346	AT5G04440
Potra2n10c20349	AT5G04430
Potra2n10c20351	AT5G04420
Potra2n10c20352	AT1G20500
Potra2n10c20353	AT4G19010
Potra2n10c20354	AT5G03610
Potra2n10c20356	AT5G04410
Potra2n10c20357	AT3G10490
Potra2n10c20358	AT5G03530
Potra2n10c20359	AT5G48450
Potra2n10c20360	AT5G04390
Potra2n10c20361	AT5G04360
Potra2n10c20363	AT5G22930
Potra2n10c20364	AT5G04320
Potra2n10c20365	AT5G04310
Potra2n10c20367	AT1G60650
Potra2n10c20369	AT3G10420
Potra2n10c20371	AT2G24130
Potra2n10c20373	AT2G36840
Potra2n10c20374	AT3G54940
Potra2n10c20375	AT1G11925
Potra2n10c20376	AT5G03450
Potra2n10c20377	AT1G67410
Potra2n10c20378	AT3G54880
Potra2n10c20379	AT3G10410
Potra2n10c20381	AT3G10400
Potra2n10c20382	AT3G10400
Potra2n10c20383	AT2G39170
Potra2n10c20384	AT2G42250
Potra2n10c20385	AT2G42250
Potra2n10c20386	AT2G42250
Potra2n10c20387	AT3G10390
Potra2n10c20388	AT3G10380
Potra2n10c20389	AT3G54870
Potra2n10c20390	AT3G10370
Potra2n10c20391	AT3G54860
Potra2n10c20392	AT3G54850
Potra2n10c20393	AT3G54840
Potra2n10c20396	AT5G04270
Potra2n10c20397	AT2G39130
Potra2n10c20399	AT3G10360
Potra2n10c20400	AT5G04250
Potra2n10c20401	AT2G39110
Potra2n10c20402	AT1G53390
Potra2n10c20403	AT3G10350
Potra2n10c20404	AT5G41990
Potra2n10c20405	AT3G57120
